scoutId,regio2,regio3,street,houseNumber,geo_plz,totalRent,baseRent,serviceCharge,livingSpace,noRooms,floor,numberOfFloors,balcony,cellar,hasKitchen,garden,lift,petsAllowed,typeOfFlat,heatingType,condition,interiorQual,yearConstructed,lastRefurbish,newlyConst,energyEfficiencyClass,noParkSpaces
115671495,Berlin,Staaken_Spandau,Metropolitan Park,63,13591,1140.0,820.0,320.0,77.0,3.0,0.0,3.0,True,False,True,False,True,negotiable,ground_floor,central_heating,,,,,False,,1.0
113359456,Berlin,Weißensee_Weißensee,B&ouml;rnestra&szlig;e,11,13086,955.0,808.0,79.0,62.63,2.0,0.0,3.0,False,False,False,False,False,negotiable,ground_floor,central_heating,refurbished,,1918.0,,False,,
113704695,Berlin,Mitte_Mitte,Stallschreiberstra&szlig;e,27,10179,1300.0,1150.0,150.0,46.4,2.0,3.0,5.0,True,True,True,False,True,no,apartment,floor_heating,first_time_use,luxury,2019.0,,True,,1.0
107589685,Berlin,Kreuzberg_Kreuzberg,Hallesche Stra&szlig;e,5a,10963,1428.78,1200.0,228.78,67.0,2.5,6.0,7.0,True,True,True,False,True,negotiable,apartment,floor_heating,mint_condition,sophisticated,2017.0,,False,,
114773727,Berlin,Tiergarten_Tiergarten,Heidestra&szlig;e,19,10557,1559.05,1338.43,147.08,73.54,2.0,0.0,6.0,True,True,True,False,True,negotiable,ground_floor,district_heating,first_time_use,sophisticated,2019.0,2019.0,True,B,
113764604,Berlin,Grünau_Köpenick,Waldkiefernring,5,12527,1280.0,1048.0,232.0,83.14,3.0,1.0,2.0,True,True,True,False,False,,apartment,combined_heat_and_power_plant,mint_condition,sophisticated,2014.0,,False,,1.0
113829068,Berlin,Marzahn_Marzahn,B&auml;rensteinstr.,42,12685,656.72,435.61,221.11,62.23,3.0,16.0,,True,False,False,False,True,,apartment,district_heating,modernized,,1980.0,,False,,
113297201,Berlin,Neu_Hohenschönhausen_Hohenschönhausen,Falkenberger Chaussee,130,13057,861.0,699.0,162.0,71.2,3.0,4.0,,True,True,True,False,True,,apartment,district_heating,modernized,,1984.0,,False,C,
112185558,Berlin,Hellersdorf_Hellersdorf,Luckenwalder Str.,94,12629,415.51,314.78,67.15,41.97,1.0,2.0,5.0,False,True,False,False,False,negotiable,apartment,central_heating,first_time_use_after_refurbishment,sophisticated,1988.0,2019.0,False,,
115200338,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,Kastanienallee,87,10435,2565.0,2225.0,200.0,165.68,4.0,6.0,6.0,True,True,True,False,True,negotiable,roof_storey,district_heating,refurbished,sophisticated,1910.0,2007.0,False,,
110747740,Berlin,Französisch_Buchholz_Pankow,no_information,,13127,1125.0,792.0,215.0,88.0,3.5,1.0,2.0,True,False,True,False,False,no,apartment,central_heating,well_kept,sophisticated,1890.0,1992.0,False,,
111780700,Berlin,Charlottenburg_Charlottenburg,no_information,,10589,2830.0,2380.0,450.0,140.0,3.0,6.0,6.0,True,True,True,False,True,,penthouse,floor_heating,,,2018.0,,True,,
110664680,Berlin,Mitte_Mitte,Chausseestra&szlig;e,41 c,10115,1893.09,1640.6,161.65,97.9,3.0,4.0,6.0,True,True,True,False,True,negotiable,apartment,floor_heating,first_time_use,sophisticated,2017.0,,False,A,
115218458,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,Sch&ouml;nhauser Allee,68,10437,1747.63,1456.35,291.28,97.09,3.0,2.0,5.0,False,False,True,False,False,,apartment,central_heating,refurbished,,1900.0,,False,,
111377979,Berlin,Mariendorf_Tempelhof,Gersdorfstr.,67,12105,618.21,502.46,115.75,62.75,2.5,0.0,4.0,False,True,False,True,False,negotiable,raised_ground_floor,self_contained_central_heating,modernized,sophisticated,1927.0,2015.0,False,E,
115232156,Berlin,Neukölln_Neukölln,Weserstr.,204,12047,399.84,309.84,55.0,35.0,1.0,1.0,,False,False,False,False,False,negotiable,apartment,central_heating,well_kept,normal,1900.0,,False,,
115442980,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,Oderberger Stra&szlig;e,51/ 52,10435,2018.38,1698.64,319.74,99.92,3.0,5.0,5.0,True,False,False,False,False,yes,maisonette,central_heating,refurbished,,,,False,,
111391200,Berlin,Tiergarten_Tiergarten,Spenerstra&szlig;e,36,10557,1000.0,845.0,100.0,41.58,2.0,6.0,7.0,True,True,True,False,False,,apartment,district_heating,,,1975.0,,False,F,1.0
105407548,Berlin,Charlottenburg_Charlottenburg,no_information,,14052,1125.0,875.0,250.0,81.0,2.0,1.0,3.0,True,True,True,True,False,negotiable,apartment,central_heating,well_kept,sophisticated,1990.0,,False,,1.0
